NAME OF DATA ELEMENT,developer-friendly name,VARIABLE NAME,API data type,VALUE,LABEL
Unit ID for institution,id,UNITID,integer,,
Institution name,name,INSTNM,string,,
City,city,CITY,string,,
State postcode,state,STABBR,string,,
ZIP code,zip,ZIP,integer,,
Predominant degree awarded (recoded 0s and 4s),degrees_awarded.predominant_recoded,sch_deg,integer, ,
Flag for main campus,main_campus,main,integer,0,Not main campus
,,,,1,Main campus
Number of branch campuses,branches,NUMBRANCH,integer,,
"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",degrees_awarded.predominant,PREDDEG,integer,0,Not classified
,,,,1,Predominantly certificate-degree granting
,,,,2,Predominantly associate's-degree granting
,,,,3,Predominantly bachelor's-degree granting
,,,,4,Entirely graduate-degree granting
"Highest degree awarded
0        Non-degree-granting
1        Certificate degree
2        Associate degree
3        Bachelor's degree
4        Graduate degree",degrees_awarded.highest,HIGHDEG,integer,0,Non-degree-granting
,,,,1,Certificate degree
,,,,2,Associate degree
,,,,3,Bachelor's degree
,,,,4,Graduate degree
Control of institution,ownership,CONTROL,integer,1,Public
,,,,2,Private nonprofit
,,,,3,Private for-profit
FIPS code for state,state_fips,st_fips,integer,1,Alabama
,,,,2,Alaska
,,,,4,Arizona
,,,,5,Arkansas
,,,,6,California
,,,,8,Colorado
,,,,9,Connecticut
,,,,10,Delaware
,,,,11,District of Columbia
,,,,12,Florida
,,,,13,Georgia
,,,,15,Hawaii
,,,,16,Idaho
,,,,17,Illinois
,,,,18,Indiana
,,,,19,Iowa
,,,,20,Kansas
,,,,21,Kentucky
,,,,22,Louisiana
,,,,23,Maine
,,,,24,Maryland
,,,,25,Massachusetts
,,,,26,Michigan
,,,,27,Minnesota
,,,,28,Mississippi
,,,,29,Missouri
,,,,30,Montana
,,,,31,Nebraska
,,,,32,Nevada
,,,,33,New Hampshire
,,,,34,New Jersey
,,,,35,New Mexico
,,,,36,New York
,,,,37,North Carolina
,,,,38,North Dakota
,,,,39,Ohio
,,,,40,Oklahoma
,,,,41,Oregon
,,,,42,Pennsylvania
,,,,44,Rhode Island
,,,,45,South Carolina
,,,,46,South Dakota
,,,,47,Tennessee
,,,,48,Texas
,,,,49,Utah
,,,,50,Vermont
,,,,51,Virginia
,,,,53,Washington
,,,,54,West Virginia
,,,,55,Wisconsin
,,,,56,Wyoming
,,,,60,American Samoa
,,,,64,Federated States of Micronesia
,,,,66,Guam
,,,,69,Northern Mariana Islands
,,,,70,Palau
,,,,72,Puerto Rico
,,,,78,Virgin Islands
Region (IPEDS),region_id,region,integer,0,U.S. Service Schools
,,,,1,"New England (CT, ME, MA, NH, RI, VT)"
,,,,2,"Mid East (DE, DC, MD, NJ, NY, PA)"
,,,,3,"Great Lakes (IL, IN, MI, OH, WI)"
,,,,4,"Plains (IA, KS, MN, MO, NE, ND, SD)"
,,,,5,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
,,,,6,"Southwest (AZ, NM, OK, TX)"
,,,,7,"Rocky Mountains (CO, ID, MT, UT, WY)"
,,,,8,"Far West (AK, CA, HI, NV, OR, WA)"
,,,,9,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
Locale of institution,locale,LOCALE,integer,11,"City: Large (population of 250,000 or more)"
,,,,12,"City: Midsize (population of at least 100,000 but less than 250,000)"
,,,,13,"City: Small (population less than 100,000)"
,,,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)"
,,,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)"
,,,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)"
,,,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area)
,,,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area)
,,,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area)
,,,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster)
,,,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster)
,,,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster)
Degree of urbanization of institution,degree_urbanization,locale2,integer,1,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)"
,,,,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)"
,,,,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau)
,,,,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau)
,,,,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)"
