"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"1","Alabama A & M University",3,1,4692,8638,13242,0.2875,"25000",1,0,0,0,0,0.4726,851,7966,6441
"2","University of Alabama at Birmingham",3,1,5096,11432,16955,0.3958,"34700",1,0,0,0,0,0.8357,1107,12399,8634
"3","Amridge University",3,1,8000,8000,20100,0,"34700",2,0,0,0,0,0.875,NA,NA,3500
"4","University of Alabama in Huntsville",3,1,6510,15628,16876,0.4755,"38700",1,0,0,0,0,0.7209,1145,10044,7914
"5","Alabama State University",3,1,6468,12084,14000,0.2174,"20600",1,0.0099,0.9752,2e-04,0.0028,0.4625,805,8904,6567
"6","The University of Alabama",3,1,7000,19200,20496,0.6593,"35400",1,0,0,0,0,0.587,1122,15952,8160
"7","Central Alabama Community College",2,1,2700,4830,6658,NA,"23400",1,0.705,0.2775,0.0013,0.0061,NA,NA,3056,5617
"8","Athens State University",3,1,NA,NA,NA,NA,"36400",1,0.8103,0.1202,0.0116,0.0098,NA,NA,NA,7215
"9","Auburn University at Montgomery",3,1,5970,17250,13372,0.2771,"31600",1,0,0,0,0,0.9492,970,10190,6875
"10","Auburn University Main Campus",3,1,6972,19452,17966,0.6709,"38700",1,0,0,0,0,0.795,1184,13225,8609
"11","Birmingham Southern College",3,1,26746,26746,36504,0.7203,"30500",2,0,0,0,0,0.5871,1162,NA,6942
"12","Chattahoochee Valley Community College",2,1,2940,5070,5300,NA,"22600",1,0.4631,0.4595,0.0085,0.0347,NA,NA,1191,5848
"13","Concordia College-Selma",3,1,7370,7370,12285,0.1941,"18100",2,0,0,0,0,NA,NA,NA,4020
"14","South University-Montgomery",2,1,14685,14685,25633,0.3333,"27300",3,0.2771,0.6962,0.0083,0.0117,0.8855,NA,NA,4793
"15","Enterprise-Ozark Community College",2,1,2700,4830,9497,NA,"25000",1,0.6866,0.2027,0.0185,0.0422,NA,NA,7969,5428
"16","James H Faulkner State Community College",2,1,2790,4920,7865,NA,"24300",1,0.7391,0.1907,0.0072,0.0209,NA,NA,4430,5941
"17","Faulkner University",3,1,13690,13690,22955,0.3522,"33600",2,0,0,0,0,0.5826,973,NA,6112
"18","Gadsden State Community College",2,1,2700,4830,7684,NA,"21500",1,0.7177,0.2148,0.0031,0.0231,NA,NA,4154,5619
"19","George C Wallace Community College-Dothan",2,1,2700,4830,7169,NA,"21800",1,0.6304,0.3189,0.0088,0.0186,NA,NA,3421,5374
"20","George C Wallace State Community College-Hanceville",2,1,2700,4830,9610,NA,"26300",1,0,0,0,0,NA,NA,6571,5529
"21","George C Wallace State Community College-Selma",2,1,2700,4830,13551,NA,"17900",1,0.2428,0.7314,0.0046,0.0097,NA,NA,8761,5306
"22","Herzing University",1,0,10220,10220,20732,0.3279,"28000",3,0,0,0,0,0.7865,NA,NA,4780
"23","Huntingdon College",3,1,20990,20990,28842,0.4581,"30800",2,0,0,0,0,0.6652,1012,NA,5474
"24","Heritage Christian University",3,1,9189,9189,14308,0,"PrivacySuppressed",2,0.8889,0.0833,0,0.0278,NA,NA,NA,3384
"25","J F Drake State Technical College",1,1,2700,4830,10367,NA,"18700",1,0.29,0.6523,0.0129,0.0129,NA,NA,9895,5688
"26","Jacksonville State University",3,1,4992,9984,15280,0.3496,"29200",1,0.6125,0.3007,0.0065,0.0115,0.8763,925,11735,6354
"27","Jefferson Davis Community College",1,1,2708,4838,8640,NA,"21500",1,0.5192,0.3369,0.0131,0.0138,NA,NA,4186,5734
"28","Jefferson State Community College",2,1,3060,5190,10131,NA,"25800",1,0.7316,0.1973,0.0156,0.0198,NA,NA,6448,5648
"29","John C Calhoun State Community College",2,1,2850,4980,8831,NA,"23700",1,0.7029,0.2098,0.0043,0.0261,NA,NA,5410,5719
